Date,User,Rating/Likes,Review
2019-08-03,Eleanor Beaton,1,on this ep  of  #ffl @_jeneroux offers tips for effectively leading diverse teams. http://ow.ly/uzbi30pgnd0  @bmo #leadership #storytellingn #speaking #workplaceculture #learning #motivation #diversity
2019-08-03,CalgaryBluesky,0,"i'm not always in a rush or that impatient. this particular day i was rushing back to an event 
@bmo and didn't want to miss any of tony robbins or intro. due to the delay i missed rachel hollis. i had to let doggie out on the lunch break, no other option"
2019-08-03,Karun Mittal 👻,2,"iron ore prices are down sharply in china, partly on the trade friction escalation but also on a further 2.3m tonne gain in port inventories over the past week,” said colin hamilton, an analyst at @bmo capital markets. @bmometalsmining @bmoharrisbank @bmomedia @bmofr"
2019-08-03,DaveMurYYC,0,i was in a online chat with @bmo agent and after i told him i was inquiring about $60 extra in service fees i was charged they disappeared like i asked them to help me move or something.
2019-08-03,Master Yoda,0,@bmo how do i set the pin to my credit card through just a bmo atm? i’ve been using the tap function and have not been able to use the pin
2019-08-03,Daniela V,2,ok the staff at @bmo on 4th and national rock! they are so nice and seriously beyond helpful! i think i did amazing decision going with them for my business account  #milwaukee
2019-08-03,Sarah Jane Wolch,0,"@bmo my 87yr grandmother went to cash travellers cheques at a branch, teller signed & cashed them, then the branch manager called her 2 days later saying teller made a mistake, they can't accept them, took the money back out of her account (cont)..."
2019-08-03,Justin Case,0,"@bmo so frustrating! doesnt matter when a person calls. 7am 2pm 9pm or 2am, its always a 20 to 40 minute wait. 
thats insane!!"
2019-08-03,Cameron Phillips,0,@bmo your app isn’t optimized for ipad. is this some kind of sick joke?
2019-08-03,James Kitamura,7,looked like a great event @mkambo88. thank you for representing bmo so proudly.
2019-08-03,Maninder Kambo,43,"honoured & privileged to be speaking at the opening of the @harmonyartswv festival along with mayor @maryannbooth !

harmonyarts festival is one of the regions most popular cultural events & will attract over 140,000 attendees! 

be sure to check out the @bmo indigenous showcase! pic.twitter.com/fm7d6uhcwo – at ambleside park"
2019-08-03,Gucci Black Baby ن,0,i would go with @bmo
2019-08-02,Nic,0,"playing mario with my son yesterday and right after we passed a level he turns to me and says, ""and thats the bmo effect""
okay, so maybe less screen time??
@bmo"
2019-08-02,Dean DiMonte,0,which bank is open and best to help grow a business with good customerservice? @rbc @cibc @bmo @tdbank_us @nationalbank @clearbanc #banks
2019-08-02,Founder Institute,0,".@ryersondmz & @bmo invite founders to take part in a 2-day smb #banking challenge on oct 9-10th in #toronto  pitch your small biz banking solutions to bmo for strategic engagement, pilot opportunities, & up to $30k in funding prizes. apply by aug 9th https://dmz.ryerson.ca/bmobankingchallenge/ …pic.twitter.com/7m6t87mg7m"
2019-08-02,00403263_atg,2,"ugh, how could you @bmo ... this just sucks. nothing will ever convey the impressive image that the current banking hall does.

remember when you built a tower next to it just to keep the winnipeg staff together in one location?"
2019-08-02,"Kony, Inc",4,"new capital from @bmo to help fuel @kony's continued growth, innovation and leadership in #digitalbanking and omnichannel #lowcode platform solutions. 

https://www.kony.com/resources/press-releases/kony-receives-37-million-in-financing-from-bmo/ …pic.twitter.com/p6si5ulcew"
2019-08-02,ᏆᎪjᎥ ᎾbᎬᏒᎾᎥ,0,"@bmo 
bmo rewards website not working. trying 2 book and continuously showing error message."
2019-08-02,Future Offices,0,"speaker spotlight: mohamed rajan from @bmo
join mohamed’s session on “vr and workplace experience” at #futureoffices summer - http://bit.ly/2dij23w pic.twitter.com/3w6gsno1s0"
2019-08-02,Ashley Moore,0,@bmo is there something up with online banking? i tried to sign in on the ios app and it kicked me out saying maybe i need to reset my password. that fails saying there’s something up on your end.
2019-08-02,Neej ByTHEfields,0,"@bmo is the most inconvenient bank i have ever been with. please, i beg y’all save your sanity and energy and do not bank with them."
2019-08-02,United Way Greater Toronto,21,"thanks to #uwlocalleader @bmo, we’re strengthening underserved neighbourhoods across our region. this includes investing $2.3 million in grassroots initiatives that will enhance community well-being in toronto's inner suburbs. https://untdwy.org/2ydccdr  #bmounitedway #locallovepic.twitter.com/c1thi8qdzh"
2019-08-02,TODAY NEWS AFRICA USA,0,@mbuhari's men attack @atiku over secret burial of 1000 soldiers massacred by #bokoharam #nigeria #terrorism @spokesmanatiku @officialpdpnig @officialapcng @bmo https://todaynewsafrica.com/buharis-men-attack-atiku-over-secret-burial-of-1000-soldiers-massacred-by-boko-haram/ …
2019-08-02,farmercurtis,8,well thanks @aginmotion and @bmo had to carry the hat all day at the show but my daughter wears this hat 6 hours a day. pic.twitter.com/dgfifs9a0h
